,Place,Player,PDGA Number,Player Rating,Score
0,1,Matthew Orum,18330,1042,-23
1,2,Aaron Gossage,35449,1033,-19
2,2,Eagle McMahon,37817,1046,-19
3,4,Richard Wysocki,38008,1047,-17
4,4,Simon Lizotte,8332,1042,-17
5,4,Calvin Heimburg,45971,1051,-17
6,7,Benjamin Callaway,39015,1029,-14
7,8,Ezra Robinson,50671,1033,-13
8,8,Kevin Jones,41760,1028,-13
9,10,Alden Harris,98091,1032,-12
10,11,Gannon Buhr,75412,1045,-11
11,11,Niklas Anttila,91249,1039,-11
12,11,Luke Taylor,102119,1027,-11
13,11,Andrew Marwede,75590,1030,-11
14,15,Joel Freeman,69509,1034,-10
15,15,Chris Clemons,50401,1028,-10
16,17,Joseph Anderson,122356,1025,-9
17,18,Paul Ulibarri,27171,1021,-8
18,19,Tuomas Hyytiäinen,65715,1015,-7
19,19,Isaac Robinson,50670,1041,-7
20,21,Cole Redalen,79748,1037,-6
21,21,Evan Smith,101574,1025,-6
22,23,Väinö Mäkelä,59635,1030,-5
23,24,Garrett Gurthie,13864,1026,-4
24,25,Gavin Babcock,80331,1021,-3
25,25,Kyle Klein,85132,1039,-3
26,25,Casey White,81739,1017,-3
27,25,Evan Scott,89394,1020,-3
28,25,Aidan Scott,99246,1021,-3
29,25,Brodie Smith,128378,1020,-3
30,31,Albert Tamm,76669,1022,-2
31,32,Chris Dickerson,62467,1042,-1
32,33,Andrew Presnell,63765,1026,E
33,33,Bradley Williams,31644,1033,E
34,35,Gregg Barsby,15857,1022,+1
35,35,Corey Ellis,44512,1032,+1
36,37,Nikko Locastro,11534,1030,+2
37,37,Luke Samson,59419,1015,+2
38,37,Jeremy Koling,33705,1022,+2
39,37,Silas Schultz,79047,1021,+2
40,37,Jake Hebenheimer,43762,1018,+2
41,42,Chandler Kramer,139228,1023,+3
42,42,James Proctor,34250,1035,+3
43,42,Tristan Tanner,99053,1008,+3
44,42,Jakub Semerád,91925,1024,+3
45,46,Parker Welck,39491,1014,+4
46,46,Adam Hammes,57365,1028,+4
47,46,Clay Edwards,91397,1008,+4
48,46,Zach Arlinghaus,65266,1018,+4
49,50,James Conrad,17295,1027,+5
50,50,Thomas Gilbert,85850,1011,+5
51,50,Mason Ford,72844,1029,+5
52,53,Mason Marchbanks,79753,1011,+6
53,53,Connor O'Reilly,99648,1012,+6
54,55,Eric Oakley,53565,1024,+7
55,55,Robert Burridge,96512,1020,+7
56,55,Ezra Aderhold,121715,1031,+7
57,58,Connor Rock,73695,1013,+10
58,58,Luke Humphries,69424,1019,+10
59,58,Emerson Keith,47472,1022,+10
60,61,Linus Carlsson,82098,1015,+12
61,61,Austin Hannum,68835,1018,+12
62,61,Chandler Fry,25541,1015,+12
63,64,Andrew Fish,58320,1018,+13
64,65,Silver Lätt,61186,1012,DNF
65,66,Matt Bell,48950,1027,+15
66,66,Ty Love,89959,1020,+15
67,68,Randon Latta,51685,1007,+16
68,68,Jake Monn,98722,1015,+16
69,70,Jake Wolff,144536,1006,+20
70,70,Anthony Barela,44382,1038,+20
71,72,Justin Rosak,98161,1000,+30
