,Place,Player,PDGA Number,Player Rating,Score
0,1,Gannon Buhr,75412,1043,-19
1,2,Isaac Robinson,50670,1038,-16
2,3,Gregg Barsby,15857,1023,-15
3,3,Calvin Heimburg,45971,1043,-15
4,3,Ezra Robinson,50671,1023,-15
5,3,Gavin Babcock,80331,1014,-15
6,7,Anthony Barela,44382,1039,-14
7,7,Simon Lizotte,8332,1036,-14
8,9,Kevin Jones,41760,1028,-13
9,10,Chris Clemons,50401,1027,-11
10,10,Brodie Smith,128378,1022,-11
11,12,Benjamin Callaway,39015,1026,-10
12,12,Paul Ulibarri,27171,1016,-10
13,12,Corey Ellis,44512,1033,-10
14,12,Tristan Tanner,99053,1011,-10
15,12,Dawson Snelling,45739,1000,-10
16,12,Mason Ford,72844,1030,-10
17,18,Adam Hammes,57365,1029,-9
18,18,Jake Hebenheimer,43762,1015,-9
19,18,Emerson Keith,47472,1020,-9
20,18,Ty Love,89959,1021,-9
21,18,Richard Wysocki,38008,1044,-9
22,18,Ezra Aderhold,121715,1033,-9
23,18,Matthew Orum,18330,1040,-9
24,18,Chris Dickerson,62467,1040,-9
25,26,John Jones,43834,1003,-8
26,26,Garrett Gurthie,13864,1030,-8
27,26,Robert Burridge,96512,1022,-8
28,26,Aaron Gossage,35449,1034,-8
29,26,Austin Turner,54049,1023,-8
30,26,Andrew Fish,58320,1014,-8
31,32,Evan Smith,101574,1030,-7
32,32,Tim Barham,53332,1012,-7
33,32,Eric Oakley,53565,1021,-7
34,32,Noah Meintsma,56555,1002,-7
35,32,Chandler Kramer,139228,1021,-7
36,32,Albert Tamm,76669,1020,-7
37,38,James Proctor,34250,1030,-6
38,38,Harper Thompson,60259,1012,-6
39,38,Gavin Rathbun,60436,1021,-6
40,38,Nikko Locastro,11534,1030,-6
41,38,Joel Freeman,69509,1036,-6
42,38,Zackeriath Johnson,50312,1005,-6
43,38,Thomas Gilbert,85850,1016,-6
44,45,Paul Oman,34344,1021,-5
45,45,Zachary Nash,101197,1001,-5
46,45,Alden Harris,98091,1032,-5
47,45,Nate Hecker,93475,1013,-5
48,45,Jake Monn,98722,1013,-5
49,45,Luke Humphries,69424,1015,-5
50,45,Matt Hammersten,81781,1017,-5
51,52,Andrew Marwede,75590,1029,-4
52,52,Luke Samson,59419,1015,-4
53,54,Silas Schultz,79047,1026,-3
54,54,John Willis II,23844,1005,-3
55,54,Mason Marchbanks,79753,1017,-3
56,54,Parker Welck,39491,1010,-3
57,54,Logan Harpool,101319,1009,-3
58,54,Jeremy Koling,33705,1019,-3
59,54,Clay Edwards,91397,1011,-3
60,61,Luke Taylor,102119,1023,-2
61,61,Raven Newsom,88212,1011,-2
62,61,Chandler Fry,25541,1016,-2
63,61,Kyle Klein,85132,1040,-2
64,61,Joseph Kozlowski,26095,1011,-2
65,61,Cole Redalen,79748,1030,-2
66,61,Evan Scott,89394,1021,-2
67,68,Nathan Queen,68286,1005,-1
68,68,AJ Carey,61770,1010,-1
69,68,Garett Everson,98164,1017,-1
70,68,Drew Gibson,48346,1028,-1
71,72,Zach Arlinghaus,65266,1015,E
72,72,Jared Stoll,68103,997,E
73,72,Reid Frescura,48338,1002,E
74,72,G.T. Hancock,49885,1007,E
75,72,Lance Brown,58644,990,E
76,72,James Conrad,17295,1032,E
77,72,Colten Montgomery,35876,1019,E
78,72,Connor O'Reilly,99648,1015,E
79,72,Jonathan Fletcher,65940,993,E
80,81,Nick Hanson,40274,1000,+1
81,81,Connor Rock,73695,1012,+1
82,81,Jake Brown,140954,1004,+1
83,81,Andrew Presnell,63765,1029,+1
84,81,Nolan Ramser,90461,996,+1
85,81,Charlie Moore,78268,1001,+1
86,81,Sullivan Tipton,78817,1025,+1
87,88,Benjamin Vansumeren,110035,984,+2
88,88,Axel Olson,120743,1002,+2
89,88,Trevon Crowe,67172,998,+2
90,88,Linus Carlsson,82098,1021,+2
91,88,Ryan Anderson,50038,970,+2
92,88,Danny Beauchamp,76153,1006,+2
93,94,Gabriel Hernández,148785,994,+3
94,94,Kevin Kiefer III,97115,1016,+3
95,96,Clint Calvin,84958,1011,+5
96,96,Jay Yeti Reading,15864,987,+5
97,98,Jake Lauber,44782,1004,+6
98,98,Matt Polson,87738,980,+6
99,98,Calvin Pettigrew,31818,994,+6
100,101,Collin Thompson,107074,999,+7
101,101,Jake Wolff,144536,1001,+7
102,103,Austin Housewright,77181,986,+8
103,103,Dallas Wrinkle,88370,981,+8
104,105,Philo Brathwaite,26416,1015,+9
105,105,Ian Burchett,60435,1005,+9
106,107,Ethan Stout,118781,970,+10
107,107,Aidan Brock,59742,984,+10
108,109,Noah Free,99515,988,+11
109,110,Tyler Wozniak,92805,985,+12
110,111,Max Regitnig,27812,1006,+13
111,112,Jamison Monroe,138791,958,+14
112,112,Justin Rosak,98161,1002,+14
113,114,Colin Poe,74005,989,+15
114,115,Jeff Yanda,121610,965,+16
115,116,Noah Fiveash,99153,986,+20
116,117,Robert Johnson,143099,955,+22
117,118,Tony Ferro,33551,1005,DNF
118,118,Carter Smith,45145,993,DNF
119,118,Justin Birch Sr,59026,963,DNF
