,Place,Player,PDGA Number,Player Rating,Score
0,1,Parker Welck,39491,1010,-31
1,2,Calvin Heimburg,45971,1043,-30
2,3,Evan Smith,101574,1030,-27
3,3,Matthew Orum,18330,1040,-27
4,3,Alden Harris,98091,1032,-27
5,6,Ezra Robinson,50671,1023,-25
6,6,Richard Wysocki,38008,1044,-25
7,8,Benjamin Callaway,39015,1026,-24
8,9,Mason Marchbanks,79753,1017,-22
9,9,Emerson Keith,47472,1020,-22
10,9,Joel Freeman,69509,1036,-22
11,12,Gavin Rathbun,60436,1021,-21
12,12,Ty Love,89959,1021,-21
13,12,Aaron Gossage,35449,1034,-21
14,12,Silas Schultz,79047,1026,-21
15,12,Albert Tamm,76669,1020,-21
16,17,Jake Hebenheimer,43762,1015,-20
17,17,Garett Everson,98164,1017,-20
18,17,Chris Dickerson,62467,1040,-20
19,17,Ezra Aderhold,121715,1033,-20
20,21,Chandler Kramer,139228,1021,-19
21,21,Luke Samson,59419,1015,-19
22,21,Andrew Presnell,63765,1029,-19
23,21,Sullivan Tipton,78817,1025,-19
24,21,Kevin Jones,41760,1028,-19
25,26,John Jones,43834,1003,-18
26,26,Connor Rock,73695,1012,-18
27,26,Austin Turner,54049,1023,-18
28,29,Harper Thompson,60259,1012,-17
29,30,G.T. Hancock,49885,1007,-16
30,30,Thomas Gilbert,85850,1016,-16
31,30,Corey Ellis,44512,1033,-16
32,30,Grady Shue,68285,1009,-16
33,30,Isaac Robinson,50670,1038,-16
34,35,Luke Taylor,102119,1023,-15
35,35,Paul Ulibarri,27171,1016,-15
36,35,Eric Oakley,53565,1021,-15
37,35,Gavin Babcock,80331,1014,-15
38,39,Cole Redalen,79748,1030,-14
39,39,Max Regitnig,27812,1006,-14
40,39,Bradley Williams,31644,1031,-14
41,39,Kevin Kiefer III,97115,1016,-14
42,39,Tristan Tanner,99053,1011,-14
43,39,Anthony Barela,44382,1039,-14
44,45,Isaiah Esquivel,77939,966,-13
45,45,Evan Scott,89394,1021,-13
46,45,Zachary Nash,101197,1001,-13
47,45,Jake Lauber,44782,1004,-13
48,45,Nathan Queen,68286,1005,-13
49,50,JohnE McCray,9852,1013,-11
50,50,Garrett Gurthie,13864,1030,-11
51,50,Austin Hannum,68835,1016,-11
52,50,Chris Clemons,50401,1027,-11
53,50,Mason Ford,72844,1030,-11
54,50,Nikko Locastro,11534,1030,-11
55,50,Gannon Buhr,75412,1043,-11
56,57,Nolan Ramser,90461,996,-10
57,57,Jaden Rye,153363,1004,-10
58,57,Randon Latta,51685,1005,-10
59,60,Robert Burridge,96512,1022,-9
60,60,Dallas Wrinkle,88370,981,-9
61,60,Andrew Marwede,75590,1029,-9
62,60,Luke Humphries,69424,1015,-9
63,60,Nate Metzler,41220,999,-9
64,65,Nick Hanson,40274,1000,-8
65,65,Ian Burchett,60435,1005,-8
66,65,Charlie Moore,78268,1001,-8
67,65,Eric McCabe,11674,1009,-8
68,65,Gabriel Hernández,148785,994,-8
69,65,Carter Ahrens,88279,1017,-8
70,65,Jonathan Fletcher,65940,993,-8
71,72,Adam Hammes,57365,1029,-7
72,72,Tyler Wozniak,92805,985,-7
73,72,Caleb Bruce,101944,994,-7
74,75,Zackeriath Johnson,50312,1005,-6
75,75,AJ Carey,61770,1010,-6
76,75,Mark Chapalonis,70741,1000,-6
77,75,Fredy Meza,100497,1010,-6
78,75,Colten Montgomery,35876,1019,-6
79,80,Zach Arlinghaus,65266,1015,-5
80,80,Brodie Smith,128378,1022,-5
81,80,Connor O'Reilly,99648,1015,-5
82,80,Bradley Brown,81343,986,-5
83,84,Raven Newsom,88212,1011,-4
84,84,Calvin Pettigrew,31818,994,-4
85,84,Jeremy Koling,33705,1019,-4
86,87,Logan Harpool,101319,1009,-3
87,88,Jake Monn,98722,1013,-2
88,88,Jake Brown,140954,1004,-2
89,88,DW Hass,94907,994,-2
90,91,Levi Hancock,103050,999,-1
91,91,Levi Stout,118179,997,-1
92,91,Bruce Esquivel,44600,971,-1
93,94,Elijah Bickel,94844,1009,E
94,95,Noah Meintsma,56555,1002,+1
95,95,Linus Carlsson,82098,1021,+1
96,97,Mychael Washam,71538,979,+2
97,98,Jake Wolff,144536,1001,+3
98,98,Jared Stoll,68103,997,+3
99,100,Reid Frescura,48338,1002,+5
100,100,Clay Edwards,91397,1011,+5
101,102,Donovan Esquivel,88054,973,+6
102,102,Justin Rosak,98161,1002,+6
103,104,Riley Steiner,130037,972,+7
104,104,Dillon Spellman,103705,967,+7
105,106,Billy Engel,44458,984,+8
106,107,Noah Fiveash,99153,986,+12
107,107,Zach Moses,41351,995,+12
108,109,Ethan Stout,118781,970,+13
109,109,Marshall Blanks,56886,996,+13
110,111,Michael Junod,40617,961,+14
111,111,Trevor Hastert,118592,970,+14
112,113,Jeffrey Bryk,18706,994,+15
113,113,Cade Kohlmeier,177319,959,+15
114,115,Ricky King,158252,935,+17
115,116,Jason Lawson,165807,990,+18
116,116,Tate Galloway,58367,966,+18
117,118,Malachi Arzola,98803,966,+23
118,119,John Willis II,23844,1005,+36
