,Place,Player,PDGA Number,Player Rating,Score
0,1,Simon Lizotte,8332,1039,-30
1,2,Eagle McMahon,37817,1044,-27
2,3,Chris Dickerson,62467,1040,-25
3,3,Cole Redalen,79748,1031,-25
4,5,Calvin Heimburg,45971,1051,-24
5,5,Kevin Jones,41760,1026,-24
6,7,Isaac Robinson,50670,1036,-20
7,8,Richard Wysocki,38008,1047,-19
8,9,Anthony Barela,44382,1038,-18
9,10,Jake Hebenheimer,43762,1019,-17
10,10,Gannon Buhr,75412,1044,-17
11,12,Randon Latta,51685,1002,-15
12,12,Austin Hannum,68835,1017,-15
13,14,Bradley Williams,31644,1030,-14
14,14,Nikko Locastro,11534,1029,-14
15,14,Alden Harris,98091,1030,-14
16,14,Joel Freeman,69509,1036,-14
17,18,Ezra Robinson,50671,1028,-13
18,18,Aaron Gossage,35449,1033,-13
19,18,Kyle Klein,85132,1037,-13
20,18,Gavin Babcock,80331,1018,-13
21,22,Chandler Kramer,139228,1022,-12
22,23,Ezra Aderhold,121715,1031,-11
23,24,Zach Arlinghaus,65266,1015,-10
24,24,Casey White,81739,1017,-10
25,24,Adam Hammes,57365,1027,-10
26,24,Robert Burridge,96512,1020,-10
27,28,Jeremy Koling,33705,1021,-9
28,28,Matthew Orum,18330,1039,-9
29,28,Luke Taylor,102119,1027,-9
30,31,Parker Welck,39491,1014,-8
31,31,Silas Schultz,79047,1024,-8
32,33,Chris Clemons,50401,1027,-7
33,33,James Proctor,34250,1036,-7
34,35,Eric Oakley,53565,1024,-6
35,36,Sullivan Tipton,78817,1028,-5
36,36,Emerson Keith,47472,1025,-5
37,36,Luke Humphries,69424,1016,-5
38,39,Brodie Smith,128378,1021,-4
39,39,Nathan Queen,68286,1012,-4
40,39,Jake Monn,98722,1014,-4
41,39,James Conrad,17295,1028,-4
42,39,Jake Wolff,144536,1002,-4
43,39,Mason Ford,72844,1032,-4
44,45,Benjamin Callaway,39015,1030,-3
45,46,AJ Carey,61770,1006,-2
46,46,Paul Ulibarri,27171,1021,-2
47,46,Chandler Fry,25541,1014,-2
48,49,Gavin Rathbun,60436,1023,-1
49,50,Andrew Presnell,63765,1028,E
50,51,Andrew Marwede,75590,1030,+2
51,52,Colten Montgomery,35876,1016,+3
52,53,Thomas Gilbert,85850,1014,+4
53,54,Trevon Crowe,67172,1003,+6
54,55,Joseph Anderson,122356,1028,+7
55,55,Andrew Fish,58320,1017,+7
56,55,Luke Samson,59419,1016,+7
57,58,Jared Stoll,68103,1000,+8
58,58,Evan Smith,101574,1028,+8
59,58,G.T. Hancock,49885,1011,+8
60,61,Raven Newsom,88212,1008,+9
61,61,Tristan Tanner,99053,1012,+9
62,61,Zackeriath Johnson,50312,1006,+9
63,64,Evan Scott,89394,1021,+10
64,64,Ty Love,89959,1023,+10
65,66,Manabu Kajiyama,8139,1056,+11
66,67,Max Regitnig,27812,1004,+13
67,67,Connor Rock,73695,1015,+13
68,69,Zach Melton,38631,1004,+19
69,70,Justin Rosak,98161,999,+20
70,70,Carter Ahrens,88279,1013,+20
71,72,Connor O'Reilly,99648,1014,+23
72,73,Noah Fiveash,99153,974,+25
