,Place,Player,PDGA Number,Player Rating,Score
0,1,Gannon Buhr,75412,1044,-32
1,2,Calvin Heimburg,45971,1051,-30
2,3,Isaac Robinson,50670,1036,-28
3,4,Paul Ulibarri,27171,1021,-26
4,4,Kyle Klein,85132,1037,-26
5,6,Nikko Locastro,11534,1029,-25
6,7,Nate Hecker,93475,1017,-24
7,7,Matthew Orum,18330,1039,-24
8,7,Kevin Jones,41760,1026,-24
9,10,Richard Wysocki,38008,1047,-23
10,10,Ezra Robinson,50671,1028,-23
11,10,Matt Bell,48950,1025,-23
12,10,Jeremy Koling,33705,1021,-23
13,14,James Conrad,17295,1028,-22
14,14,Cole Redalen,79748,1031,-22
15,14,Aaron Gossage,35449,1033,-22
16,14,Bradley Williams,31644,1030,-22
17,18,Simon Lizotte,8332,1039,-21
18,19,Chris Clemons,50401,1027,-20
19,19,Alden Harris,98091,1030,-20
20,19,Eric Oakley,53565,1024,-20
21,22,Nathan Queen,68286,1012,-19
22,22,James Proctor,34250,1036,-19
23,22,Sullivan Tipton,78817,1028,-19
24,22,Chandler Fry,25541,1014,-19
25,26,Tony Moe Reiss,47136,1009,-18
26,26,Justin Rosak,98161,999,-18
27,26,Kevin Kiefer III,97115,1018,-18
28,26,Evan Scott,89394,1021,-18
29,30,Randon Latta,51685,1002,-17
30,30,Nathan Sexton,18824,1024,-17
31,30,Chandler Kramer,139228,1022,-17
32,30,Chris Dickerson,62467,1040,-17
33,30,Brad Schick,7992,1010,-17
34,30,Grady Shue,68285,1013,-17
35,30,Evan Smith,101574,1028,-17
36,37,Micah Groth,113179,1021,-16
37,37,Tim Barham,53332,1018,-16
38,37,Casey White,81739,1017,-16
39,37,Luke Humphries,69424,1016,-16
40,37,Mason Ford,72844,1032,-16
41,37,Luke Taylor,102119,1027,-16
42,37,Joseph Anderson,122356,1028,-16
43,44,Connor O'Reilly,99648,1014,-15
44,44,Zach Arlinghaus,65266,1015,-15
45,44,Andrew Fish,58320,1017,-15
46,44,Jake Hebenheimer,43762,1019,-15
47,48,Benjamin Callaway,39015,1030,-14
48,48,G.T. Hancock,49885,1011,-14
49,48,Gavin Babcock,80331,1018,-14
50,51,Austin Hannum,68835,1017,-13
51,51,Calvin Caldwell,50024,1007,-13
52,51,Adam Hammes,57365,1027,-13
53,51,Ian Burchett,60435,1001,-13
54,55,Zachary Nash,101197,1007,-12
55,55,Andrew Presnell,63765,1028,-12
56,55,Matthew Blakely,15410,1010,-12
57,55,Dylan Horst,32599,1012,-12
58,55,Clay Edwards,91397,1010,-12
59,60,Paul Oman,34344,1020,-11
60,60,AJ Carey,61770,1006,-11
61,60,Robert Burridge,96512,1020,-11
62,60,Brodie Smith,128378,1021,-11
63,64,Ezra Aderhold,121715,1031,-10
64,64,Tristan Tanner,99053,1012,-10
65,64,Tony Ferro,33551,1008,-10
66,64,Anthony Barela,44382,1038,-10
67,64,Joel Freeman,69509,1036,-10
68,64,Jake Monn,98722,1014,-10
69,70,Ty Love,89959,1023,-9
70,70,Jake Wolff,144536,1002,-9
71,70,Jared Stoll,68103,1000,-9
72,73,Emerson Keith,47472,1025,-8
73,73,Reid Frescura,48338,1006,-8
74,73,Jake Lauber,44782,1004,-8
75,76,Gavin Rathbun,60436,1023,-7
76,76,Silas Schultz,79047,1024,-7
77,78,Zach Melton,38631,1004,-6
78,78,Andrew Martin,54302,1006,-6
79,78,Raven Newsom,88212,1008,-6
80,78,Garrett Gurthie,13864,1027,-6
81,78,Nick Newton,47689,1008,-6
82,78,Colten Montgomery,35876,1016,-6
83,84,Tyler Horne,16058,1004,-5
84,84,Jake Brown,140954,1006,-5
85,86,Nate Perkins,65737,996,-4
86,86,Nicholas Gill,33838,1009,-4
87,86,Trevor Harbolt,26860,999,-4
88,89,Zackeriath Johnson,50312,1006,-1
89,90,Trevon Crowe,67172,1003,E
90,90,Harper Thompson,60259,1016,E
91,92,Bartosz Kowalewski,68737,998,+2
92,93,Nathaniel Johnson,138355,998,+4
93,94,Luke Samson,59419,1016,+8
94,95,Luke Callaghan,117680,975,+12
95,96,Noah Fiveash,99153,974,+14
96,97,Martin Hendel,39469,1011,+16
97,98,Parker Welck,39491,1014,DNF
98,99,Noah Meintsma,56555,1005,DNF
99,99,Alan Wagner,28550,1008,DNF
