,Place,Player,PDGA Number,Player Rating,Score
0,1,Calvin Heimburg,45971,1046,-31
1,2,Benjamin Callaway,39015,1019,-28
2,2,Isaac Robinson,50670,1033,-28
3,2,Eagle McMahon,37817,1042,-28
4,5,Andrew Presnell,63765,1025,-26
5,5,Bradley Williams,31644,1027,-26
6,5,Kyle Klein,85132,1040,-26
7,5,Corey Ellis,44512,1032,-26
8,5,James Conrad,17295,1031,-26
9,10,Gannon Buhr,75412,1042,-25
10,11,Robert Burridge,96512,1017,-24
11,11,James Proctor,34250,1027,-24
12,13,Ezra Aderhold,121715,1032,-23
13,13,Silas Schultz,79047,1021,-23
14,15,Paul McBeth,27523,1046,-22
15,15,John Willis II,23844,1001,-22
16,15,Väinö Mäkelä,59635,1028,-22
17,15,Anthony Barela,44382,1039,-22
18,15,Ezra Robinson,50671,1020,-22
19,15,Niklas Anttila,91249,1032,-22
20,15,Chris Dickerson,62467,1041,-22
21,15,Alden Harris,98091,1030,-22
22,23,Cole Redalen,79748,1030,-21
23,23,Simon Lizotte,8332,1040,-21
24,23,Aaron Gossage,35449,1030,-21
25,23,Drew Gibson,48346,1033,-21
26,27,Thomas Gilbert,85850,1017,-20
27,27,Chris Clemons,50401,1029,-20
28,27,Mason Marchbanks,79753,1006,-20
29,30,Jeremy Koling,33705,1019,-19
30,30,Emerson Keith,47472,1027,-19
31,32,Evan Scott,89394,1015,-18
32,32,Garrett Gurthie,13864,1030,-18
33,34,G.T. Hancock,49885,1007,-17
34,34,Joel Freeman,69509,1037,-17
35,34,Ian Burchett,60435,1002,-17
36,34,Albert Tamm,76669,1021,-17
37,38,Tuomas Hyytiäinen,65715,1006,-16
38,38,Max Regitnig,27812,1003,-16
39,38,Zackeriath Johnson,50312,1008,-16
40,38,Andrew Marwede,75590,1031,-16
41,38,Austin Turner,54049,1020,-16
42,38,Garett Everson,98164,1010,-16
43,44,Luke Humphries,69424,1017,-15
44,44,Adam Hammes,57365,1032,-15
45,44,Kevin Jones,41760,1033,-15
46,44,Zach Arlinghaus,65266,1013,-15
47,44,Josh Coghill,63364,998,-15
48,44,Chandler Fry,25541,1012,-15
49,44,Eric Oakley,53565,1017,-15
50,51,Jakub Semerád,91925,1015,-14
51,52,Calvin Pettigrew,31818,992,-13
52,52,Jake Brown,140954,1004,-13
53,54,Adrian Chevalier,104894,1002,-12
54,54,Gavin Rathbun,60436,1022,-12
55,54,Jonathan Fletcher,65940,993,-12
56,54,Colten Montgomery,35876,1019,-12
57,54,Aidan Scott,99246,1018,-12
58,59,Nolan Ramser,90461,998,-11
59,59,Joona Heinänen,58926,1025,-11
60,59,Connor O'Reilly,99648,1014,-11
61,62,Paul Ulibarri,27171,1015,-10
62,62,Jared Stoll,68103,995,-10
63,62,Mason Ford,72844,1030,-10
64,62,Jake Monn,98722,1011,-10
65,66,Mark Chapalonis,70741,999,-9
66,66,Paul Oman,34344,1022,-9
67,66,Levi Hancock,103050,1002,-9
68,66,AJ Carey,61770,1014,-9
69,70,Philo Brathwaite,26416,1010,-8
70,70,Brodie Smith,128378,1024,-8
71,70,Jake Hebenheimer,43762,1018,-8
72,70,Andrew Fish,58320,1016,-8
73,70,Chandler Kramer,139228,1020,-8
74,70,Dylan Horst,32599,1012,-8
75,70,Luke Samson,59419,1019,-8
76,70,Clay Edwards,91397,1008,-8
77,78,Reid Frescura,48338,1003,-7
78,78,Tristan Tanner,99053,1011,-7
79,80,John Jones,43834,1002,-6
80,80,Austin Hannum,68835,1016,-6
81,80,Nathan Queen,68286,1010,-6
82,80,Raven Newsom,88212,1011,-6
83,80,Parker Welck,39491,1012,-6
84,80,Nikko Locastro,11534,1031,-6
85,86,Trevon Crowe,67172,998,-5
86,86,Charlie Moore,78268,1001,-5
87,86,Trevor Harbolt,26860,998,-5
88,89,Justin Rosak,98161,999,-4
89,89,Joshua Patin,56037,1012,-4
90,89,Tyler Wozniak,92805,985,-4
91,92,Casey White,81739,1017,-3
92,92,Tony Ferro,33551,1012,-3
93,94,Tim Barham,53332,1015,-2
94,95,Zachary Nash,101197,996,-1
95,96,Gavin Babcock,80331,1013,E
96,96,Noah Fiveash,99153,992,E
97,96,Randon Latta,51685,1008,E
98,99,Jake Wolff,144536,1004,+1
99,99,Kevin Kiefer III,97115,1015,+1
100,99,Phil McGuire,83784,979,+1
101,99,Kade Filimoehala,104984,988,+1
102,99,Jordan Henshaw,137590,988,+1
103,104,DW Hass,94907,997,+2
104,104,Danny Beauchamp,76153,1004,+2
105,106,Nick Hanson,40274,1000,+4
106,106,Austen McDaniel,184498,946,+4
107,108,Austin Housewright,77181,988,+5
108,109,Harris Reid,72429,979,+6
109,110,Allen Heston,114790,978,+8
110,111,Thunder Schultz,56016,999,+9
111,112,Logan Harpool,101319,1012,DNF
