,Place,Player,PDGA Number,Player Rating,Score
0,1,Calvin Heimburg,45971,1041,-31
1,2,Ezra Aderhold,121715,1029,-29
2,2,Kevin Jones,41760,1031,-29
3,4,Kyle Klein,85132,1039,-28
4,4,Drew Gibson,48346,1035,-28
5,6,Paul McBeth,27523,1050,-27
6,7,Zach Arlinghaus,65266,1008,-26
7,8,Matt Bell,48950,1021,-25
8,8,Corey Ellis,44512,1033,-25
9,8,Matthew Orum,18330,1040,-25
10,8,Emerson Keith,47472,1024,-25
11,8,Anthony Barela,44382,1039,-25
12,13,Eagle McMahon,37817,1043,-24
13,14,James Proctor,34250,1020,-23
14,14,Connor Rock,73695,1011,-23
15,14,Garrett Gurthie,13864,1031,-23
16,17,Scott Withers,38464,1030,-22
17,17,Clint Calvin,84958,1006,-22
18,17,Nikko Locastro,11534,1031,-22
19,20,James Conrad,17295,1033,-21
20,20,Aaron Gossage,35449,1028,-21
21,20,Jake Hebenheimer,43762,1021,-21
22,23,Gregg Barsby,15857,1030,-20
23,23,Andrew Marwede,75590,1032,-20
24,25,Mason Ford,72844,1027,-19
25,25,Gavin Rathbun,60436,1027,-19
26,27,Joel Freeman,69509,1037,-18
27,27,Luke Samson,59419,1021,-18
28,27,Luke Humphries,69424,1016,-18
29,30,Robert Burridge,96512,1008,-17
30,30,Trevon Crowe,67172,998,-17
31,30,Kevin Kiefer III,97115,1016,-17
32,30,Benjamin Callaway,39015,1024,-17
33,30,Gannon Buhr,75412,1043,-17
34,30,Brodie Smith,128378,1025,-17
35,30,Maximus Meyer,49865,987,-17
36,30,Adam Hammes,57365,1030,-17
37,30,Andrew Presnell,63765,1024,-17
38,39,Justin Rosak,98161,994,-16
39,39,Chris Pinegar,74719,1017,-16
40,39,Ty Love,89959,1021,-16
41,39,Colten Montgomery,35876,1019,-16
42,43,Nathan Sexton,18824,1035,-15
43,43,Alden Harris,98091,1030,-15
44,43,Parker Welck,39491,1007,-15
45,46,Cole Redalen,79748,1027,-14
46,47,Tristan Tanner,99053,1010,-13
47,47,Simon Lizotte,8332,1037,-13
48,49,Bradley Williams,31644,1029,-12
49,50,Jake Brown,140954,1001,-11
50,50,Austin Turner,54049,1019,-11
51,50,Andrew Fish,58320,1015,-11
52,50,Austin Hannum,68835,1015,-11
53,54,Paul Oman,34344,1020,-10
54,54,Jared Stoll,68103,992,-10
55,56,Jordan Castro,49431,1000,-9
56,56,AJ Carey,61770,1014,-9
57,56,Tim Barham,53332,1015,-9
58,56,Väinö Mäkelä,59635,1027,-9
59,56,Connor O'Reilly,99648,1017,-9
60,61,John Willis II,23844,998,-8
61,61,Albert Tamm,76669,1021,-8
62,61,Chandler Kramer,139228,1022,-8
63,61,Raven Newsom,88212,1015,-8
64,65,Casey White,81739,1017,-7
65,65,Paul Ulibarri,27171,1022,-7
66,65,James Beckner,49519,968,-7
67,65,Chandler Fry,25541,1017,-7
68,69,Jarod Gogal,72409,1005,-6
69,69,Bo Tillman,46480,1009,-6
70,69,Liam Stott,60044,1003,-6
71,69,Chris Clemons,50401,1033,-6
72,69,Levi Hancock,103050,1003,-6
73,74,Noah Meintsma,56555,1004,-5
74,74,Eric Oakley,53565,1015,-5
75,74,DW Hass,94907,996,-5
76,77,Thomas Gilbert,85850,1020,-4
77,77,Tom Erik K Steen,83906,969,-4
78,77,Brock Shepherd,32091,995,-4
79,77,Nick Newton,47689,1004,-4
80,81,Hjalte Jensen,129061,1005,-3
81,82,Jason Lawson,165807,978,-2
82,82,John Jones,43834,1005,-2
83,82,Rasmus Saukkoriipi,136325,1010,-2
84,82,Isaac Robinson,50670,1031,-2
85,86,Jacob Courtis,56511,1010,-1
86,86,Zach Melton,38631,1007,-1
87,88,Zachary Nash,101197,993,E
88,88,Nick Hanson,40274,999,E
89,88,Jacky Chen,128836,995,E
90,88,Elijah Bickel,94844,1013,E
91,92,Danny Beauchamp,76153,1006,+1
92,92,Zackeriath Johnson,50312,1011,+1
93,92,Charlie Moore,78268,1004,+1
94,95,Tyler Schrock,71872,991,+2
95,96,Nathaniel Johnson,138355,987,+3
96,96,Chris Ozolins,55049,1012,+3
97,96,Ian Hamilton,97422,997,+3
98,96,Steve Berger,28091,978,+3
99,96,Jake Wolff,144536,1002,+3
100,96,Bhrahsten Waugh,45463,994,+3
101,102,Randon Latta,51685,1011,+4
102,103,Zach Lyons-Wade,129701,974,+5
103,103,Cameron Messerschmidt,58814,998,+5
104,105,Shay Montes,99089,989,+7
105,105,Tyler Wozniak,92805,984,+7
106,107,Landen Mortensen,119084,985,+8
107,107,Andrew Paulson,118604,982,+8
108,109,Justin Anderson,55776,1005,+9
109,109,Chris Paetz,110290,971,+9
110,111,Braeden Moore,108289,978,+11
111,112,Noah Fiveash,99153,1000,+12
112,113,Josh Miller,62910,966,+16
113,113,Jeffrey McCormick,116860,981,+16
114,115,Mark Turner,199745,989,+21
115,116,Josh Bergquist,72478,961,+23
116,117,Tommy Gunz Trujillo III,71392,953,+24
117,118,Gavin Babcock,80331,1016,DNF
118,118,Jeremy Koling,33705,1020,DNF
