,Place,Player,PDGA Number,Player Rating,Score
0,1,Cole Redalen,79748,1030,-36
1,2,Calvin Heimburg,45971,1047,-31
2,3,Richard Wysocki,38008,1044,-28
3,4,Ezra Robinson,50671,1026,-27
4,5,Andrew Marwede,75590,1025,-26
5,6,Simon Lizotte,8332,1036,-23
6,7,Casey White,81739,1016,-22
7,8,Chris Dickerson,62467,1039,-21
8,9,James Proctor,34250,1031,-20
9,10,Adam Hammes,57365,1025,-19
10,11,Kevin Jones,41760,1029,-18
11,11,Chris Clemons,50401,1026,-18
12,13,Emerson Keith,47472,1023,-17
13,14,Benjamin Callaway,39015,1028,-16
14,15,Isaac Robinson,50670,1037,-15
15,15,Paul Ulibarri,27171,1017,-15
16,15,Matthew Orum,18330,1040,-15
17,18,Joel Freeman,69509,1035,-14
18,19,Gregg Barsby,15857,1024,-13
19,19,Nikko Locastro,11534,1027,-13
20,21,Mason Ford,72844,1030,-12
21,21,Sullivan Tipton,78817,1025,-12
22,23,Kyle Klein,85132,1038,-11
23,24,Gannon Buhr,75412,1044,-10
24,24,Gavin Rathbun,60436,1020,-10
25,26,Jared Stoll,68103,997,-9
26,26,Luke Taylor,102119,1022,-9
27,26,Evan Scott,89394,1021,-9
28,26,Eric Oakley,53565,1024,-9
29,30,Robert Burridge,96512,1020,-8
30,30,Andrew Presnell,63765,1030,-8
31,30,Garrett Gurthie,13864,1028,-8
32,30,Dylan Seppala,124138,1018,-8
33,34,Brodie Smith,128378,1022,-7
34,35,Aaron Gossage,35449,1035,-6
35,35,Chandler Kramer,139228,1022,-6
36,35,Tim Barham,53332,1014,-6
37,35,Jeremy Koling,33705,1017,-6
38,39,Evan Smith,101574,1029,-5
39,39,Andrew Fish,58320,1014,-5
40,39,Raven Newsom,88212,1008,-5
41,39,Bradley Williams,31644,1030,-5
42,39,Ty Love,89959,1024,-5
43,39,Zackeriath Johnson,50312,1004,-5
44,45,James Conrad,17295,1031,-4
45,45,Ben Wolff,144530,998,-4
46,45,Austin Hannum,68835,1015,-4
47,45,Tony Ferro,33551,1007,-4
48,49,Nathan Queen,68286,1009,-3
49,50,Jake Hebenheimer,43762,1016,-2
50,50,Parker Welck,39491,1013,-2
51,50,Zach Arlinghaus,65266,1015,-2
52,53,Matt Bell,48950,1026,-1
53,53,Alden Harris,98091,1034,-1
54,53,Luke Humphries,69424,1016,-1
55,56,Reid Frescura,48338,1002,E
56,57,Jake Monn,98722,1014,+3
57,58,Zachary Nash,101197,1003,+5
58,59,Nick Robinson,60332,996,+1
59,59,Danny Beauchamp,76153,1002,+1
60,59,Luke Samson,59419,1015,+1
61,59,G.T. Hancock,49885,1008,+1
62,59,Ezra Aderhold,121715,1033,+1
63,59,Colten Montgomery,35876,1015,+1
64,59,Chandler Fry,25541,1015,+1
65,66,Paul Oman,34344,1020,+2
66,66,Aidan Scott,99246,1021,+2
67,66,Garett Everson,98164,1018,+2
68,69,Nick Newton,47689,1005,+3
69,69,Austin Turner,54049,1023,+3
70,69,Connor Rock,73695,1013,+3
71,72,Dylan Horst,32599,1010,+4
72,72,Harper Thompson,60259,1018,+4
73,72,Gavin Babcock,80331,1017,+4
74,75,Kevin Fodrey,146804,985,+5
75,75,Anthony Barela,44382,1039,+5
76,77,Zack Finwall,89111,986,+6
77,77,Nicholas Gill,33838,1010,+6
78,79,Zach Melton,38631,1008,+7
79,79,Connor O'Reilly,99648,1014,+7
80,79,Clay Edwards,91397,1012,+7
81,82,Calvin Pettigrew,31818,993,+8
82,82,Micah Groth,113179,1026,+8
83,82,Fredy Meza,100497,1010,+8
84,82,Nate Hecker,93475,1013,+8
85,82,Thunder Schultz,56016,1000,+8
86,87,Justin Rosak,98161,1000,+9
87,87,Frank Smith,99092,987,+9
88,89,Rich Klein III,40067,980,+10
89,89,Silas Schultz,79047,1027,+10
90,89,Bartosz Kowalewski,68737,993,+10
91,92,Randy Dueck,139619,1007,+11
92,92,George Beno,49225,990,+11
93,92,Jaden Rye,153363,1006,+11
94,95,Jake Lauber,44782,1008,+12
95,95,Nolan Ramser,90461,999,+12
96,97,Jonathan Borzick,119794,995,+13
97,97,Gavin Phillips,119504,991,+13
98,97,Jake Brown,140954,1005,+13
99,97,Nathaniel Johnson,138355,995,+13
100,97,Jake Wolff,144536,1003,+13
101,102,Trevor Harbolt,26860,1000,+14
102,103,Ian Burchett,60435,1003,+15
103,104,Brent Hannu,128231,997,+16
104,104,Kevin Kiefer III,97115,1017,+16
105,104,Dallas Wrinkle,88370,982,+16
106,104,AJ Carey,61770,1009,+16
107,108,Tristan Tanner,99053,1017,+17
108,108,Owen McCall,120343,998,+17
109,110,Bhrahsten Waugh,45463,993,+18
110,110,Adrian Chevalier,104894,997,+18
111,112,Luke Bayne,166771,1002,+19
112,112,Noah Fiveash,99153,981,+19
113,112,Trevon Crowe,67172,1000,+19
114,112,Benjamin Vansumeren,110035,981,+19
115,116,Thomas Earhart,54106,996,+21
116,116,Dan Schlitter,80219,1008,+21
117,118,Joseph Anderson,122356,1029,+22
118,119,Randon Latta,51685,1008,+23
119,119,Edward Ward,62387,1007,+23
120,121,Charlie Moore,78268,1000,+24
121,121,Ryan Monn,144929,979,+24
122,123,Elijah Bickel,94844,1008,+25
123,124,Noah Meintsma,56555,1005,+26
124,124,Brawley Sioux,163490,982,+26
125,126,Jon Drummond,7350,987,+29
126,127,Andrew Nilsen,55310,1006,+31
127,128,Luke Sabulsky,109175,965,+33
128,128,Nick Robertson,127048,988,+33
129,128,Tyler Wozniak,92805,985,+33
130,128,Ryan Stilson,50844,980,+33
131,132,Blake Whitehead,145870,1006,+34
132,133,Collin Thompson,107074,992,+36
133,133,Ryan Mulder,111887,998,+36
134,135,Nathan Welker,134758,960,+37
135,136,Dawson Snelling,45739,1001,DNF
136,136,Garry Patton,49643,998,DNF
137,136,Corey Ellis,44512,1034,DNF
138,136,Luke Callaghan,117680,973,DNF
139,136,Joe Notch,106915,1005,DNF
140,136,Lance Brown,58644,991,DNF
141,136,Michael Clark,109591,976,DNF
142,136,Josh Riley,97326,978,DNF
143,136,Jacob Courtis,56511,1013,DNF
144,145,Brandon Cawthorne,60069,995,DNF
