,Place,Player,PDGA Number,Player Rating,Score
0,1,Emerson Keith,47472,1020,-23
1,2,Gannon Buhr,75412,1045,-21
2,3,Isaac Robinson,50670,1037,-18
3,3,Cole Redalen,79748,1030,-18
4,3,Aaron Gossage,35449,1030,-18
5,6,Anthony Barela,44382,1039,-17
6,6,Calvin Heimburg,45971,1045,-17
7,6,James Proctor,34250,1027,-17
8,9,Väinö Mäkelä,59635,1031,-16
9,10,Garrett Gurthie,13864,1031,-15
10,10,Jake Hebenheimer,43762,1015,-15
11,10,Gavin Rathbun,60436,1020,-15
12,13,Eric Oakley,53565,1019,-14
13,13,Niklas Anttila,91249,1037,-14
14,13,Drew Gibson,48346,1031,-14
15,13,Adam Hammes,57365,1031,-14
16,13,Alden Harris,98091,1032,-14
17,13,Jakub Semerád,91925,1016,-14
18,19,Paul Oman,34344,1022,-13
19,19,Max Regitnig,27812,1003,-13
20,19,Cody Kirkland,28198,1016,-13
21,22,Tristan Tanner,99053,1012,-12
22,23,Parker Welck,39491,1011,-11
23,23,Colten Montgomery,35876,1016,-11
24,23,Albert Tamm,76669,1022,-11
25,23,Austin Hannum,68835,1016,-11
26,23,Corey Ellis,44512,1030,-11
27,23,Bradley Williams,31644,1031,-11
28,23,Brodie Smith,128378,1020,-11
29,23,Chandler Kramer,139228,1021,-11
30,23,Jaden Rye,153363,1003,-11
31,23,JohnE McCray,9852,1005,-11
32,23,Robert Burridge,96512,1022,-11
33,23,Evan Scott,89394,1017,-11
34,35,Øyvind Jarnes,41884,1021,-10
35,35,Jacob Courtis,56511,1014,-10
36,35,Luke Samson,59419,1017,-10
37,35,Gavin Babcock,80331,1012,-10
38,35,Joona Heinänen,58926,1024,-10
39,35,Nikko Locastro,11534,1027,-10
40,41,James Conrad,17295,1029,-9
41,41,Waden Sides,212153,983,-9
42,41,Andrew Fish,58320,1017,-9
43,41,Austin Turner,54049,1025,-9
44,41,Kyle Klein,85132,1041,-9
45,41,Nathan Sexton,18824,1030,-9
46,41,Matt Bell,48950,1021,-9
47,48,Tuomas Hyytiäinen,65715,1013,-8
48,48,AJ Carey,61770,1011,-8
49,48,Knut Valen Håland,35070,1014,-8
50,51,Noah Meintsma,56555,1001,-7
51,51,Simon Lizotte,8332,1041,-7
52,51,Connor O'Reilly,99648,1012,-7
53,51,Mike Sale,46910,1010,-7
54,55,Charlie Goodpasture,26455,1013,-6
55,55,Chandler Fry,25541,1013,-6
56,55,Jake Monn,98722,1013,-6
57,55,Eagle McMahon,37817,1046,-6
58,59,Chris Clemons,50401,1030,-5
59,60,Nate Perkins,65737,997,-4
60,60,Kevin Jones,41760,1030,-4
61,60,Brady Och,89514,995,-4
62,63,Ezra Aderhold,121715,1032,-3
63,64,Casey White,81739,1013,-2
64,64,Scott Withers,38464,1024,-2
65,64,Jake Wolff,144536,1002,-2
66,64,Jake Brown,140954,1004,-2
67,64,Carter Ahrens,88279,1012,-2
68,64,Samuel Aldrich,22055,997,-2
69,64,Noah Jackson,63497,986,-2
70,71,Owen McCall,120343,991,-1
71,71,Linus Carlsson,82098,1026,-1
72,71,Noah Fiveash,99153,989,-1
73,71,Trevon Crowe,67172,998,-1
74,71,Tim Denna,65766,1000,-1
75,76,Maximus Meyer,49865,995,E
76,76,Luke Humphries,69424,1014,E
77,76,Clay Edwards,91397,1008,E
78,79,Alexander Lyon,80636,982,+1
79,80,Tony Ferro,33551,1008,+2
80,81,Owen Hamilton,197577,984,+3
81,81,Jacob Blair,52785,1004,+3
82,83,Nate Metzler,41220,1007,+4
83,84,Jeff Faes,33661,997,+5
84,84,Trent Somerville,92729,1003,+5
85,84,Nick Newton,47689,1010,+5
86,84,Andrew Miranda,118426,1014,+5
87,88,Tyler Schrock,71872,992,+6
88,88,Paul Ulibarri,27171,1013,+6
89,90,John Willis II,23844,1003,+12
90,91,Jeffrey McCormick,116860,977,+13
91,92,Gavriel Gelbart,192484,969,+14
92,92,Thomas Tomaselli,80904,997,+14
93,92,Damien Trunkey,28623,990,+14
94,92,Max Crotty,133487,985,+14
95,96,Joel Hyland,179508,975,+16
96,97,Michael Arauza,87267,987,+17
97,97,Weston Hasch,185472,962,+17
98,99,Jeremy Farnsworth,78805,964,+20
99,99,Andrew Argandar-Valdez,82373,949,+20
100,101,Daniel Moriel,165704,960,+21
101,101,Brian Dyrdahl,52478,1003,+21
102,103,Matt Neiman,42934,962,+25
103,104,Harris Reid,72429,986,+28
104,105,Jack Dinsmore,139649,979,+33
105,106,Brandon Clingan,38222,956,+34
106,107,Craig Tofanelli,67644,964,+41
107,108,Anthony Krolik,49257,943,+49
108,109,Joshua Anthon,17946,1027,DNF
109,110,Dustin Keegan,35187,999,DNF
110,110,Nicholas Harmon,130281,947,DNF
111,112,Gregg Barsby,15857,1023,DNF
