,Place,Player,PDGA Number,Player Rating,Score
0,1,Paul McBeth,27523,1047,-29
1,2,James Proctor,34250,1031,-24
2,3,Calvin Heimburg,45971,1047,-23
3,4,Eagle McMahon,37817,1043,-20
4,5,Richard Wysocki,38008,1044,-19
5,6,James Conrad,17295,1031,-18
6,6,Adam Hammes,57365,1025,-18
7,8,Matthew Orum,18330,1040,-17
8,9,Hjalmar Fredriksson,116137,1000,-16
9,9,Aaron Gossage,35449,1035,-16
10,11,Paul Ulibarri,27171,1017,-15
11,12,Eric Oakley,53565,1024,-14
12,13,Niklas Anttila,91249,1037,-12
13,14,Luke Humphries,69424,1016,-11
14,14,Matt Bell,48950,1026,-11
15,14,Kyle Klein,85132,1038,-11
16,14,Jeremy Koling,33705,1017,-11
17,14,Blær Örn Ásgeirsson,80554,1003,-11
18,19,Silver Lätt,61186,1012,-10
19,20,Bradley Williams,31644,1030,-9
20,20,Robert Burridge,96512,1020,-9
21,20,Garrett Gurthie,13864,1028,-9
22,20,Scott Stokely,3140,1013,-9
23,20,Jakub Knápek,68237,1011,-9
24,25,Joey Temali,100818,1008,-8
25,25,Austin Hannum,68835,1015,-8
26,27,Mathias Bergane Johansen,190137,960,-7
27,28,Juho Pylkkänen,133249,988,-6
28,28,Leon Sonnleitner,81120,997,-6
29,28,Morten Brenna,79859,997,-6
30,28,Brodie Smith,128378,1022,-6
31,32,Håkon Kveseth,74569,1000,-5
32,32,Markus Fjørtoft,108837,993,-5
33,34,Peter Lunde,72576,1003,-4
34,34,Jakub Semerád,91925,1023,-4
35,34,Thomas Gilbert,85850,1018,-4
36,34,Gavin Babcock,80331,1017,-4
37,34,Josef Berg,95050,998,-4
38,34,Luke Samson,59419,1015,-4
39,40,Marius Gulbrandsen,176840,988,-3
40,41,Jake Wolff,144536,1003,-2
41,41,Chandler Kramer,139228,1022,-2
42,43,Tristan Tanner,99053,1017,-1
43,44,Gregg Barsby,15857,1024,E
44,44,Elias Luukkonen,106059,1008,E
45,44,Anthony Barela,44382,1039,E
46,47,Albert Tamm,76669,1019,+1
47,47,Hjalte Jensen,129061,1007,+1
48,49,Tuomas Hyytiäinen,65715,1016,+2
49,49,Raven Newsom,88212,1008,+2
50,51,Ezra Aderhold,121715,1033,+3
51,51,Joona Heinänen,58926,1025,+3
52,51,Teemu Talikainen,155087,1012,+3
53,51,Kevin Jones,41760,1029,+3
54,55,Dennis Augustsson,98130,1004,+4
55,55,Daniel Davidsson,76456,1021,+4
56,57,Luke Bayne,166771,1002,+5
57,58,Bohdan Bílek,80134,999,+6
58,58,Clay Edwards,91397,1012,+6
59,60,Espen Bernhardsen,140587,964,+8
60,60,Tom Erik K Steen,83906,977,+8
61,62,Morten Kristiansen,111626,960,+10
62,62,Alexander Standal Borgersrud,182130,976,+10
63,64,Leiv Aspén,65894,942,+12
64,64,Rienk Kan,89184,971,+12
65,66,Aksel Korneliussen,131679,970,+13
66,67,Oddbjørn Molvik,57537,964,+14
67,67,Ole Andreas Grøtte Børnes,103093,969,+14
68,69,Torjus Sandermoen Øwre,125053,963,+15
69,69,Vebjørn Greger Løvmon,81669,962,+15
70,71,Mathias Karlsen,137259,952,+16
71,71,Thomas Helgesen,214285,942,+16
72,73,Amund Eidsmoen,215811,965,+18
73,73,Sølve Andre Hatlen,41886,969,+18
74,73,Paul Black,104328,955,+18
75,76,Håvard Strand,91619,939,+20
76,77,Rick van Eijndhoven,136529,938,+22
77,77,Kristoffer Messmer,178641,941,+22
78,79,Arnar Prøis,161349,938,+23
79,80,Nils Arne Håland,84648,950,+24
80,80,Lars Somby,42587,957,+24
81,82,Marcus Ånonsen,177951,947,+25
82,83,Evald Sandermoen Øwre,124269,972,+27
83,83,Oscar Langskau,184880,941,+27
84,83,William Nyström,176735,960,+27
85,86,Sondre Pettersen,164861,938,+29
86,87,Olav André Brekke,77173,966,+30
87,87,Adrian Kristiansen,140569,955,+30
88,89,Anders Haugen,167082,937,+31
89,89,Nicolai Hagen,176615,966,+31
90,91,Henrik Roppen,119219,925,+32
91,91,Tord Thoresen Dybhavn,183242,936,+32
92,93,Morten Mikkelhaug,136376,945,+33
93,94,Lars Retterholt,173381,919,+34
94,95,Hallvard Flatberg,132933,963,+37
95,96,Eivind Røgeberg Haakonseth,142494,943,+40
96,97,James Manchester,127467,936,+43
97,98,Johannes Orbesen,76936,935,+48
98,99,Avery Jenkins,7495,977,DNF
99,100,Lauri Lehtinen,82297,1033,DNF
