,Place,Player,PDGA Number,Player Rating,Score
0,1,Adam Hammes,57365,1031,-30
1,2,Aaron Gossage,35449,1030,-30
2,3,Corey Ellis,44512,1030,-29
3,4,Isaac Robinson,50670,1037,-28
4,5,James Proctor,34250,1027,-25
5,5,Alden Harris,98091,1032,-25
6,7,Calvin Heimburg,45971,1045,-24
7,7,Ezra Aderhold,121715,1032,-24
8,9,Richard Wysocki,38008,1043,-22
9,9,Gannon Buhr,75412,1045,-22
10,11,James Conrad,17295,1029,-21
11,11,Brodie Smith,128378,1020,-21
12,11,Anthony Barela,44382,1039,-21
13,14,Jakub Semerád,91925,1016,-20
14,15,Joona Heinänen,58926,1024,-19
15,15,Carter Ahrens,88279,1012,-19
16,17,Casey White,81739,1013,-18
17,17,Kevin Kiefer III,97115,1014,-18
18,17,Andrew Presnell,63765,1028,-18
19,17,Simon Lizotte,8332,1041,-18
20,17,Ty Love,89959,1018,-18
21,22,Ezra Robinson,50671,1021,-16
22,22,Paul Ulibarri,27171,1013,-16
23,22,Bradley Williams,31644,1031,-16
24,22,Cole Redalen,79748,1030,-16
25,26,Kevin Jones,41760,1030,-14
26,26,Chandler Kramer,139228,1021,-14
27,26,Austin Hannum,68835,1016,-14
28,26,Robert Burridge,96512,1022,-14
29,30,Jake Monn,98722,1013,-13
30,30,Connor O'Reilly,99648,1012,-13
31,30,Benjamin Callaway,39015,1024,-13
32,30,Zach Arlinghaus,65266,1013,-13
33,30,Drew Gibson,48346,1031,-13
34,35,Max Regitnig,27812,1003,-11
35,35,Tuomas Hyytiäinen,65715,1013,-11
36,35,Nick Hanson,40274,1001,-11
37,38,Jake Hebenheimer,43762,1015,-10
38,38,Chandler Fry,25541,1013,-10
39,40,Jake Wolff,144536,1002,-9
40,40,Zachary Nash,101197,995,-9
41,42,Thomas Gilbert,85850,1016,-8
42,42,John Willis II,23844,1003,-8
43,44,Justin Rosak,98161,997,-7
44,45,Gavin Babcock,80331,1012,-6
45,46,Garrett Gurthie,13864,1031,-6
46,46,Luke Samson,59419,1017,-6
47,46,Colten Montgomery,35876,1016,-6
48,46,Eric Oakley,53565,1019,-6
49,46,Chris Clemons,50401,1030,-6
50,46,Tristan Tanner,99053,1012,-6
51,52,Nikko Locastro,11534,1027,-5
52,52,Parker Welck,39491,1011,-5
53,54,AJ Carey,61770,1011,-4
54,54,Harper Thompson,60259,1012,-4
55,54,Albert Tamm,76669,1022,-4
56,54,Nathan Queen,68286,1007,-4
57,54,Luke Humphries,69424,1014,-4
58,59,Evan Scott,89394,1017,-3
59,59,Jaden Rye,153363,1003,-3
60,59,Nick Newton,47689,1010,-3
61,62,Nathan Sexton,18824,1030,-2
62,62,Dustin Keegan,35187,999,-2
63,62,Cody Kirkland,28198,1016,-2
64,62,Matt Bell,48950,1021,-2
65,62,Väinö Mäkelä,59635,1031,-2
66,62,Paul Oman,34344,1022,-2
67,68,Zackeriath Johnson,50312,1010,-1
68,68,Levi Hancock,103050,999,-1
69,68,Andrew Fish,58320,1017,-1
70,68,Emerson Keith,47472,1020,-1
71,68,Trevon Crowe,67172,998,-1
72,73,Joshua Anthon,17946,1027,E
73,73,Jeremy Koling,33705,1020,E
74,75,Jake Brown,140954,1004,+1
75,75,Dallas Garber,138089,975,+1
76,75,Reid Frescura,48338,1000,+1
77,78,Øyvind Jarnes,41884,1021,+2
78,78,Niklas Anttila,91249,1037,+2
79,78,Kirby Snyder,115165,996,+2
80,78,Austin Turner,54049,1025,+2
81,82,Chris Nelson,78697,1021,+3
82,82,Andrew Marwede,75590,1032,+3
83,82,Jason Lawson,165807,989,+3
84,85,Linus Carlsson,82098,1026,+4
85,85,Sean Martin,111104,986,+4
86,85,Justin Bilodeau,45478,989,+4
87,85,Ryan Chesla,142224,999,+4
88,89,Gregg Barsby,15857,1023,+5
89,89,Clay Edwards,91397,1008,+5
90,89,Gavin Rathbun,60436,1020,+5
91,92,Thomas Tomaselli,80904,997,+7
92,93,Tony Ferro,33551,1008,+8
93,94,Nate Metzler,41220,1007,+9
94,94,Noah Meintsma,56555,1001,+9
95,96,Nate Perkins,65737,997,+10
96,97,Chase Estep,41455,988,+11
97,98,Noah Fiveash,99153,989,+13
98,98,Brady Och,89514,995,+13
99,100,Taylor Coulam,89542,972,+14
100,101,Brad Hummel,56137,971,+16
101,102,Kevin Bates,38258,956,+18
102,103,Andrew Paulson,118604,980,+19
103,104,James Leon,118421,967,+20
104,105,Gabe Porter,251213,953,+23
105,106,Graham Fuller,196220,953,+26
106,107,Alan Wagner,28550,1007,DNF
107,107,Scott Withers,38464,1024,DNF
108,109,Eagle McMahon,37817,1046,DNF
