,Place,Player,PDGA Number,Player Rating,Score
0,1,Gannon Buhr,75412,1041,-22
1,2,Simon Lizotte,8332,1037,-20
2,3,James Proctor,34250,1021,-19
3,3,Calvin Heimburg,45971,1042,-19
4,5,Austin Turner,54049,1017,-18
5,6,Mason Ford,72844,1028,-17
6,6,Ezra Aderhold,121715,1029,-17
7,6,Eagle McMahon,37817,1043,-17
8,6,Väinö Mäkelä,59635,1027,-17
9,10,Kyle Klein,85132,1040,-16
10,10,Corey Ellis,44512,1032,-16
11,10,Joona Heinänen,58926,1025,-16
12,10,Paul McBeth,27523,1048,-16
13,14,Mason Marchbanks,79753,1002,-15
14,14,Cole Redalen,79748,1029,-15
15,16,Kevin Jones,41760,1033,-14
16,16,Albert Tamm,76669,1022,-14
17,16,Tristan Tanner,99053,1009,-14
18,19,Cale Leiviska,24341,1029,-13
19,19,Joel Freeman,69509,1036,-13
20,19,Nikko Locastro,11534,1033,-13
21,19,Scott Withers,38464,1030,-13
22,19,Chris Dickerson,62467,1042,-13
23,19,Adam Hammes,57365,1031,-13
24,25,Thomas Gilbert,85850,1015,-12
25,25,Nathan Sexton,18824,1030,-12
26,25,Isaac Robinson,50670,1032,-12
27,25,Matt Bell,48950,1023,-12
28,25,Aaron Gossage,35449,1029,-12
29,30,Ezra Robinson,50671,1020,-11
30,30,Niklas Anttila,91249,1029,-11
31,30,Gavin Rathbun,60436,1024,-11
32,30,Jeremy Koling,33705,1018,-11
33,34,Andrew Marwede,75590,1033,-10
34,34,Casey White,81739,1016,-10
35,34,Fredy Meza,100497,1009,-10
36,34,Andrew Fish,58320,1015,-10
37,34,Alden Harris,98091,1030,-10
38,39,Eric Oakley,53565,1014,-9
39,39,Connor O'Reilly,99648,1015,-9
40,41,Matthew Orum,18330,1040,-8
41,41,Parker Welck,39491,1013,-8
42,41,Silas Schultz,79047,1018,-8
43,41,Garrett Gurthie,13864,1030,-8
44,41,Tim Barham,53332,1015,-8
45,41,Andrew Presnell,63765,1024,-8
46,47,Jakub Semerád,91925,1014,-7
47,47,Brodie Smith,128378,1024,-7
48,47,Max Regitnig,27812,1000,-7
49,47,Jake Brown,140954,1004,-7
50,51,Gavin Babcock,80331,1013,-6
51,51,Anthony Barela,44382,1042,-6
52,53,Evan Scott,89394,1015,-5
53,53,Jake Wolff,144536,1002,-5
54,53,Zachary Nash,101197,993,-5
55,56,Harper Thompson,60259,1007,-4
56,56,Paul Ulibarri,27171,1017,-4
57,56,Luke Samson,59419,1020,-4
58,59,Jake Monn,98722,1011,-3
59,59,Carter Ahrens,88279,1011,-3
60,59,Chris Clemons,50401,1031,-3
61,59,Logan Harpool,101319,1012,-3
62,59,James Conrad,17295,1036,-3
63,64,Gregg Barsby,15857,1028,-2
64,64,Benjamin Callaway,39015,1022,-2
65,64,Robert Burridge,96512,1013,-2
66,64,Raven Newsom,88212,1013,-2
67,64,Paul Oman,34344,1022,-2
68,69,Braeden Sides,129963,993,-1
69,69,Zackeriath Johnson,50312,1008,-1
70,69,Tuomas Hyytiäinen,65715,1006,-1
71,72,Austin Housewright,77181,989,E
72,72,Kevin Kiefer III,97115,1016,E
73,74,Jordan Castro,49431,1000,+1
74,74,AJ Carey,61770,1014,+1
75,74,Mark Chapalonis,70741,1000,+1
76,74,Hjalte Jensen,129061,1006,+1
77,74,Nick Hanson,40274,997,+1
78,79,Michael Johansen,20300,1014,+2
79,80,Rasmus Metsamaa,92779,997,+3
80,80,Patrick Blazek,25325,982,+3
81,80,Noah Meintsma,56555,1004,+3
82,80,Matthew Barajas,71050,994,+3
83,80,Sam DiCarlo,115742,1002,+3
84,85,Seth Talbott,114877,1009,+4
85,85,Reid Frescura,48338,1001,+4
86,85,Zach Arlinghaus,65266,1011,+4
87,88,Connor Rock,73695,1011,+5
88,88,Austin Hannum,68835,1016,+5
89,88,Harris Reid,72429,984,+5
90,88,Grady Shue,68285,1012,+5
91,92,Tony Ferro,33551,1017,+6
92,92,Jake Hebenheimer,43762,1019,+6
93,92,Emerson Keith,47472,1029,+6
94,92,Mike Laitala,43081,1005,+6
95,92,Trevon Crowe,67172,1001,+6
96,97,G.T. Hancock,49885,1009,+7
97,98,Nolan Ramser,90461,999,+8
98,98,Noah Fiveash,99153,992,+8
99,98,Charlie Moore,78268,1006,+8
100,101,Jaden Rye,153363,1003,+9
101,101,Clay Edwards,91397,1009,+9
102,101,Jim Oates,3351,973,+9
103,104,Tyler Wozniak,92805,984,+10
104,104,Gabriel Hernández,148785,998,+10
105,104,John Willis II,23844,1000,+10
106,107,Justin Rosak,98161,1000,+12
107,108,Isaac Marrs,65220,979,+13
108,109,Mason Hults,121920,973,+15
109,110,Randon Latta,51685,1009,+16
110,111,Tanner Girouard,88077,990,+22
111,112,Justin Atwater-Taylor,33117,974,+28
112,113,Richard Wysocki,38008,1047,DNF
113,113,Luke Humphries,69424,1018,DNF
114,115,Bradley Williams,31644,1028,DNF
115,116,Chandler Fry,25541,1014,DNF
