,Place,Player,PDGA Number,Player Rating,Score
0,1,Richard Wysocki,38008,1044,-37
1,2,Cole Redalen,79748,1030,-32
2,2,Calvin Heimburg,45971,1043,-32
3,4,Eagle McMahon,37817,1042,-31
4,5,Garrett Gurthie,13864,1030,-29
5,5,James Proctor,34250,1030,-29
6,7,Andrew Presnell,63765,1029,-28
7,7,Alden Harris,98091,1032,-28
8,7,James Conrad,17295,1032,-28
9,10,Anthony Barela,44382,1039,-27
10,10,Gannon Buhr,75412,1043,-27
11,12,Chandler Kramer,139228,1021,-26
12,12,Mason Ford,72844,1030,-26
13,12,Ezra Robinson,50671,1023,-26
14,12,Zach Arlinghaus,65266,1015,-26
15,12,Nicholas Gill,33838,1006,-26
16,17,Noah Meintsma,56555,1002,-25
17,17,Ezra Aderhold,121715,1033,-25
18,17,Kevin Kiefer III,97115,1016,-25
19,17,Emerson Keith,47472,1020,-25
20,17,Simon Lizotte,8332,1036,-25
21,17,Nikko Locastro,11534,1030,-25
22,23,Sullivan Tipton,78817,1025,-24
23,23,Matthew Orum,18330,1040,-24
24,25,Evan Smith,101574,1030,-23
25,25,Luke Taylor,102119,1023,-23
26,27,Alex Geisinger,52063,1018,-22
27,27,Grady Shue,68285,1009,-22
28,27,Andrew Marwede,75590,1029,-22
29,27,Evan Scott,89394,1021,-22
30,31,Benjamin Callaway,39015,1026,-21
31,31,Isaac Robinson,50670,1038,-21
32,31,Tristan Tanner,99053,1011,-21
33,34,Eric Oakley,53565,1021,-20
34,34,Aaron Gossage,35449,1034,-20
35,34,Nathan Queen,68286,1005,-20
36,34,Austin Hannum,68835,1016,-20
37,34,Jake Monn,98722,1013,-20
38,34,Luke Humphries,69424,1015,-20
39,34,Ty Love,89959,1021,-20
40,41,Cale Leiviska,24341,1030,-19
41,41,Silas Schultz,79047,1026,-19
42,41,Garett Everson,98164,1017,-19
43,41,Linus Carlsson,82098,1021,-19
44,41,Gavin Babcock,80331,1014,-19
45,41,Corey Ellis,44512,1033,-19
46,47,Albert Tamm,76669,1020,-18
47,47,Chris Dickerson,62467,1040,-18
48,47,Tim Barham,53332,1012,-18
49,47,Paul Oman,34344,1021,-18
50,47,Peter Calabrese,137471,1007,-18
51,47,Connor O'Reilly,99648,1015,-18
52,47,Chris Clemons,50401,1027,-18
53,47,Colten Montgomery,35876,1019,-18
54,55,Donovan Stein,137733,996,-17
55,55,Max Regitnig,27812,1006,-17
56,55,Casey White,81739,1014,-17
57,55,Luke Samson,59419,1015,-17
58,59,Austin Turner,54049,1023,-16
59,59,Paul Ulibarri,27171,1016,-16
60,59,Calvin Lonnquist,145206,1001,-16
61,59,Nick Hanson,40274,1000,-16
62,59,Clint Calvin,84958,1011,-16
63,59,Nathan Sexton,18824,1026,-16
64,59,Jake Wolff,144536,1001,-16
65,66,Harper Thompson,60259,1012,-15
66,66,Matt Bell,48950,1026,-15
67,66,Timothy T3J Johnson Jr,59661,1000,-15
68,66,David Wiggins Jr,24437,993,-15
69,66,Zachary Nash,101197,1001,-15
70,66,Nate Hecker,93475,1013,-15
71,72,Levi Hancock,103050,999,-14
72,72,Gavin Rathbun,60436,1021,-14
73,72,Parker Welck,39491,1010,-14
74,72,Robert Burridge,96512,1022,-14
75,72,Kevin Jones,41760,1028,-14
76,77,Collin Thompson,107074,999,-13
77,77,Jeremy Koling,33705,1019,-13
78,79,Nick Newton,47689,1005,-12
79,79,John Willis II,23844,1005,-12
80,79,Reid Frescura,48338,1002,-12
81,79,Joe Notch,106915,1004,-12
82,79,Jared Stoll,68103,997,-12
83,84,Brodie Smith,128378,1022,-11
84,84,Jake Hebenheimer,43762,1015,-11
85,86,Jake Brown,140954,1004,-10
86,86,Mark Chapalonis,70741,1000,-10
87,86,Chandler Fry,25541,1016,-10
88,89,Raven Newsom,88212,1011,-9
89,89,Ben Kroll,42963,990,-9
90,89,G.T. Hancock,49885,1007,-9
91,89,Ian Burchett,60435,1005,-9
92,89,Harry Chace,131546,1003,-9
93,94,Justin Rosak,98161,1002,-8
94,94,Andrew Fish,58320,1014,-8
95,94,Daniel Polk,27276,999,-8
96,94,Adrian Chevalier,104894,999,-8
97,98,Mason Marchbanks,79753,1017,-7
98,98,Jake Lauber,44782,1004,-7
99,100,Adam Hammes,57365,1029,-6
100,101,Gabriel Hernández,148785,994,-5
101,102,Philo Brathwaite,26416,1015,-4
102,103,AJ Carey,61770,1010,-3
103,104,Noah Fiveash,99153,986,-2
104,105,Ryan Sheldon,87836,1003,-1
105,105,Danny Beauchamp,76153,1006,-1
106,107,Nolan Ramser,90461,996,E
107,107,Carter Ahrens,88279,1017,E
108,107,Taegen Wells,171247,974,E
109,110,Zackeriath Johnson,50312,1005,+1
110,110,Tyler Wozniak,92805,985,+1
111,112,Mitchell Privette,44938,993,+4
112,113,Andrew Brown,89148,1002,+5
113,114,Brady Och,89514,995,+7
114,115,Dallas Wrinkle,88370,981,+9
115,116,Lance Brown,58644,990,+12
116,117,Tony Candyarms Cahill,53637,985,DNF
117,117,Drew Gibson,48346,1028,DNF
118,119,Kyle Klein,85132,1040,DNF
