,Place,Player,PDGA Number,Player Rating,Score
0,1,Kyle Klein,85132,1039,-27
1,2,Bradley Williams,31644,1033,-26
2,3,Isaac Robinson,50670,1041,-23
3,3,Simon Lizotte,8332,1042,-23
4,5,Calvin Heimburg,45971,1051,-22
5,5,Joel Freeman,69509,1034,-22
6,7,Niklas Anttila,91249,1039,-21
7,7,Aaron Gossage,35449,1033,-21
8,9,Eagle McMahon,37817,1046,-19
9,9,Chris Clemons,50401,1028,-19
10,11,Richard Wysocki,38008,1047,-18
11,12,Joseph Anderson,122356,1025,-16
12,12,Matthew Orum,18330,1042,-16
13,12,Sullivan Tipton,78817,1025,-16
14,15,Andrew Marwede,75590,1030,-15
15,15,James Proctor,34250,1035,-15
16,15,Evan Smith,101574,1025,-15
17,18,Hjalte Jensen,129061,1009,-14
18,18,Tuomas Hyytiäinen,65715,1015,-14
19,20,Alden Harris,98091,1032,-13
20,20,Chris Dickerson,62467,1042,-13
21,22,Väinö Mäkelä,59635,1030,-12
22,22,Chandler Kramer,139228,1023,-12
23,24,Parker Welck,39491,1014,-11
24,24,Onni Ruusunen,131002,1019,-11
25,24,James Conrad,17295,1027,-11
26,27,Gannon Buhr,75412,1045,-10
27,27,Jared Stoll,68103,1003,-10
28,27,Emerson Keith,47472,1022,-10
29,27,Gavin Babcock,80331,1021,-10
30,31,Zach Arlinghaus,65266,1018,-9
31,31,Connor O'Reilly,99648,1012,-9
32,31,Paul Ulibarri,27171,1021,-9
33,31,Adam Hammes,57365,1028,-9
34,35,Ezra Aderhold,121715,1031,-8
35,35,Miro Ryhänen,176270,1015,-8
36,37,Grady Shue,68285,1018,-7
37,37,Raven Newsom,88212,1012,-7
38,37,Robert Burridge,96512,1020,-7
39,37,Ty Love,89959,1020,-7
40,41,Mason Ford,72844,1029,-6
41,41,Albert Tamm,76669,1022,-6
42,41,Eric Oakley,53565,1024,-6
43,41,Jake Monn,98722,1015,-6
44,45,Casey White,81739,1017,-5
45,45,Jesse Nieminen,58923,1029,-5
46,45,Ezra Robinson,50671,1033,-5
47,48,Nick Newton,47689,1008,-4
48,48,Gregg Barsby,15857,1022,-4
49,50,Anthony Barela,44382,1038,-3
50,50,Hjalmar Fredriksson,116137,1004,-3
51,50,Severi Saviniemi,80974,1013,-3
52,50,Corey Ellis,44512,1032,-3
53,50,Rasmus Saukkoriipi,136325,1014,-3
54,50,Lauri Lehtinen,82297,1035,-3
55,50,Joona Heinänen,58926,1028,-3
56,57,Braeden Sides,129963,1013,-2
57,57,Barry Schultz,6840,1016,-2
58,57,Andrew Fish,58320,1018,-2
59,60,Andrew Presnell,63765,1026,-1
60,60,Luke Humphries,69424,1019,-1
61,62,Daniel Davidsson,76456,1018,E
62,63,Silver Lätt,61186,1012,+1
63,63,Nestori Tuhkanen,110462,1015,+1
64,63,Nikko Locastro,11534,1030,+1
65,66,Jakub Semerád,91925,1024,+2
66,66,Mason Marchbanks,79753,1011,+2
67,68,Ryan Mulder,111887,994,+3
68,68,Mauri Villmann,107197,1028,+3
69,68,Clay Edwards,91397,1008,+3
70,68,Chandler Fry,25541,1015,+3
71,68,Randon Latta,51685,1007,+3
72,68,Samuel Hänninen,87964,1016,+3
73,68,Tristan Tanner,99053,1008,+3
74,75,Aidan Scott,99246,1021,+5
75,76,Cole Redalen,79748,1037,+6
76,76,Kevin Jones,41760,1028,+6
77,76,Jacob Courtis,56511,1009,+6
78,79,Nathan Sexton,18824,1024,+7
79,79,Will Schusterick,29064,964,+7
80,79,Chris Nelson,78697,1016,+7
81,79,Benjamin Callaway,39015,1029,+7
82,83,Connor Rock,73695,1013,+8
83,84,Pekka Hyvönen,107079,1012,+9
84,85,Nate Hecker,93475,1020,+10
85,85,Steve Brinster,10628,1004,+10
86,87,Garrett Gurthie,13864,1026,+11
87,87,Zach Melton,38631,998,+11
88,87,Evan Scott,89394,1020,+11
89,87,Brodie Smith,128378,1020,+11
90,91,Matt Bell,48950,1027,+12
91,92,David Feldberg,12626,1018,+14
92,92,Calvin Roorda,141181,976,+14
93,94,Luke Callaghan,117680,974,+15
94,94,Silas Schultz,79047,1021,+15
95,94,Jake Hebenheimer,43762,1018,+15
96,97,Nathaniel Johnson,138355,997,+18
97,98,Luke Samson,59419,1015,+19
98,98,Nicholas Gill,33838,1006,+19
99,100,Axel Olson,120743,1005,+20
100,101,John Blackburn,137344,981,+21
101,102,Noah Meintsma,56555,1004,+22
102,103,Thomas Gilbert,85850,1011,+23
103,104,Tanner Young,178544,970,+26
104,105,Casey Hanemayer,67314,1017,+27
105,106,Dennis Augustsson,98130,1015,+28
106,107,Gavin Rathbun,60436,1021,+29
107,108,Nathan Queen,68286,1015,DNF
108,108,Jeremy Koling,33705,1022,DNF
