,Place,Player,PDGA Number,Player Rating,Score
0,1,Kyle Klein,85132,1039,-31
1,2,Adam Hammes,57365,1030,-29
2,3,Cole Redalen,79748,1027,-28
3,3,Calvin Heimburg,45971,1041,-28
4,5,Kevin Jones,41760,1031,-27
5,6,James Conrad,17295,1033,-26
6,7,Cale Leiviska,24341,1029,-25
7,7,Matthew Orum,18330,1040,-25
8,9,Nathan Sexton,18824,1035,-24
9,10,Joel Freeman,69509,1037,-23
10,10,Bradley Williams,31644,1029,-23
11,10,James Proctor,34250,1020,-23
12,13,Andrew Marwede,75590,1032,-22
13,13,Paul Oman,34344,1020,-22
14,13,Paul McBeth,27523,1050,-22
15,16,Mason Ford,72844,1027,-21
16,16,Zach Melton,38631,1007,-21
17,16,Nikko Locastro,11534,1031,-21
18,16,Parker Welck,39491,1007,-21
19,20,Chris Clemons,50401,1033,-20
20,20,Luke Humphries,69424,1016,-20
21,22,Chris Dickerson,62467,1044,-19
22,22,Tim Barham,53332,1015,-19
23,24,Silas Schultz,79047,1016,-18
24,24,Ezra Robinson,50671,1018,-18
25,24,Jake Monn,98722,1010,-18
26,24,Gannon Buhr,75412,1043,-18
27,28,Scott Withers,38464,1030,-17
28,28,Justin Rosak,98161,994,-17
29,28,Brodie Smith,128378,1025,-17
30,28,Miles Seaborn,29264,1015,-17
31,32,Jonathan Nicholson,101390,1012,-16
32,32,Alden Harris,98091,1030,-16
33,32,Zach Arlinghaus,65266,1008,-16
34,35,Eagle McMahon,37817,1043,-15
35,35,Fredy Meza,100497,1009,-15
36,35,Evan Scott,89394,1013,-15
37,35,Matt Bell,48950,1021,-15
38,35,Eric Oakley,53565,1015,-15
39,35,Jared Stoll,68103,992,-15
40,35,Benjamin Callaway,39015,1024,-15
41,35,Jeremy Koling,33705,1020,-15
42,35,G.T. Hancock,49885,1006,-15
43,35,Andrew Presnell,63765,1024,-15
44,45,Isaac Robinson,50670,1031,-14
45,45,Väinö Mäkelä,59635,1027,-14
46,45,Sullivan Tipton,78817,1018,-14
47,45,Andrew Fish,58320,1015,-14
48,45,Clay Edwards,91397,1010,-14
49,45,Albert Tamm,76669,1021,-14
50,45,Aaron Gossage,35449,1028,-14
51,52,Dylan Seppala,124138,1012,-13
52,52,Emerson Keith,47472,1024,-13
53,52,Charlie Moore,78268,1004,-13
54,55,Zachary Nash,101197,993,-12
55,56,Grady Shue,68285,1012,-11
56,56,Robert Burridge,96512,1008,-11
57,56,Chandler Kramer,139228,1022,-11
58,56,Luke Samson,59419,1021,-11
59,56,Braeden Sides,129963,989,-11
60,56,Gabriel Hernández,148785,999,-11
61,62,Noah Meintsma,56555,1004,-9
62,62,Jake Brown,140954,1001,-9
63,62,Gavin Babcock,80331,1016,-9
64,62,Elijah Bickel,94844,1013,-9
65,62,Logan Harpool,101319,1013,-9
66,62,Tristan Tanner,99053,1010,-9
67,68,Alan Wagner,28550,1008,-8
68,68,Tony Ferro,33551,1026,-8
69,68,Zackeriath Johnson,50312,1011,-8
70,68,Garrett Gurthie,13864,1031,-8
71,72,Ezra Aderhold,121715,1029,-7
72,72,Gavin Rathbun,60436,1027,-7
73,72,Jake Hebenheimer,43762,1021,-7
74,72,Raven Newsom,88212,1015,-7
75,72,Chris Harris,37146,1009,-7
76,72,Kevin Kiefer III,97115,1016,-7
77,72,Nolan Ramser,90461,1003,-7
78,72,Nate Hecker,93475,1011,-7
79,80,Trevon Crowe,67172,998,-6
80,80,Tyler Wozniak,92805,984,-6
81,80,Mason Marchbanks,79753,1003,-6
82,80,Connor O'Reilly,99648,1017,-6
83,80,Ben Wolff,144530,991,-6
84,80,Chandler Fry,25541,1017,-6
85,86,John Willis II,23844,998,-5
86,87,Hjalte Jensen,129061,1005,-4
87,87,Gregg Barsby,15857,1030,-4
88,87,Mike Laitala,43081,1009,-4
89,87,Randon Latta,51685,1011,-4
90,87,Jakub Semerád,91925,1017,-4
91,87,Austin Hannum,68835,1015,-4
92,87,Thomas Gilbert,85850,1020,-4
93,94,Mark Chapalonis,70741,1002,-3
94,94,Gavin Phillips,119504,990,-3
95,94,Carter Ahrens,88279,1012,-3
96,97,Dallas Wrinkle,88370,980,-2
97,97,Michael Johansen,20300,1017,-2
98,97,Casey White,81739,1017,-2
99,97,Josh Coghill,63364,998,-2
100,97,AJ Carey,61770,1014,-2
101,102,Connor Rock,73695,1011,-1
102,103,Nate Perkins,65737,1001,+1
103,103,Corey Ellis,44512,1033,+1
104,105,Reid Frescura,48338,1001,+2
105,105,Rasmus Metsamaa,92779,1002,+2
106,105,Austin Turner,54049,1019,+2
107,108,Harris Reid,72429,1004,+3
108,108,Paul Ulibarri,27171,1022,+3
109,110,Billy Engel,44458,983,+4
110,110,Max Regitnig,27812,1002,+4
111,112,Corbin Milchesky,153445,978,+7
112,112,Jake Wolff,144536,1002,+7
113,114,Jordan Castro,49431,1000,+11
114,115,Noah Fiveash,99153,1000,+13
115,116,Travis Powell,14055,1004,+14
